codprov,coddepto,codprov_censo,coddepto_censo,nomdepto_censo
01,001,02,001,COMUNA 01
01,002,02,002,COMUNA 02
01,003,02,003,COMUNA 03
01,004,02,004,COMUNA 04
01,005,02,005,COMUNA 05
01,006,02,006,COMUNA 06
01,007,02,007,COMUNA 07
01,008,02,008,COMUNA 08
01,009,02,009,COMUNA 09
01,010,02,010,COMUNA 10
01,011,02,011,COMUNA 11
01,012,02,012,COMUNA 12
01,013,02,013,COMUNA 13
01,014,02,014,COMUNA 14
01,015,02,015,COMUNA 15
02,001,06,007,ADOLFO ALSINA
02,002,06,021,ALBERTI
02,003,06,028,ALMIRANTE BROWN
02,004,06,035,AVELLANEDA
02,005,06,042,AYACUCHO
02,006,06,049,AZUL
02,007,06,056,BAHIA BLANCA
02,008,06,063,BALCARCE
02,009,06,070,BARADERO
02,010,06,077,BARTOLOME MITRE
02,011,06,091,BERAZATEGUI
02,012,06,098,BERISSO
02,013,06,105,BOLIVAR
02,014,06,112,BRAGADO
02,015,06,119,BRANDSEN
02,016,06,126,CAMPANA
02,017,06,134,CAÑUELAS
02,018,06,140,CAPITAN SARMIENTO
02,019,06,147,CARLOS CASARES
02,020,06,154,CARLOS TEJEDOR
02,021,06,161,CARMEN DE ARECO
02,022,06,602,PATAGONES
02,023,06,168,CASTELLI
02,024,06,175,COLON
02,025,06,189,CORONEL DORREGO
02,026,06,196,CORONEL PRINGLES
02,027,06,182,CORONEL DE MARINA L. ROSALES
02,028,06,203,CORONEL SUAREZ
02,029,06,210,CHACABUCO
02,030,06,217,CHASCOMUS
02,031,06,224,CHIVILCOY
02,032,06,231,DAIREAUX
02,033,06,238,DOLORES
02,034,06,245,ENSENADA
02,035,06,252,ESCOBAR
02,036,06,260,ESTEBAN ECHEVERRIA
02,037,06,266,EXALTACION DE LA CRUZ
02,038,06,274,FLORENCIO VARELA
02,039,06,280,GENERAL ALVARADO
02,040,06,287,GENERAL ALVEAR
02,041,06,294,GENERAL ARENALES
02,042,06,301,GENERAL BELGRANO
02,043,06,308,GENERAL GUIDO
02,044,06,322,GENERAL LA MADRID
02,045,06,329,GENERAL LAS HERAS
02,046,06,336,GENERAL LAVALLE
02,047,06,315,GENERAL JUAN MADARIAGA
02,048,06,343,GENERAL PAZ
02,049,06,351,GENERAL PINTO
02,050,06,357,GENERAL PUEYRREDON
02,051,06,364,GENERAL RODRIGUEZ
02,052,06,371,GENERAL SAN MARTIN
02,053,06,760,SAN MIGUEL
02,054,06,385,GENERAL VIAMONTE
02,055,06,392,GENERAL VILLEGAS
02,056,06,014,ADOLFO GONZALES CHAVES
02,057,06,399,GUAMINI
02,058,06,406,HIPOLITO YRIGOYEN
02,059,06,084,BENITO JUAREZ
02,060,06,413,JUNIN
02,061,06,427,LA MATANZA
02,062,06,434,LANUS
02,063,06,441,LA PLATA
02,064,06,448,LAPRIDA
02,065,06,455,LAS FLORES
