codprov,categoria,turno,anio,provincia
caba,dip,gral,2007,CABA
caba,dip,gral,2009,CABA
caba,dip,gral,2011,CABA
caba,dip,gral,2013,CABA
caba,dip,gral,2015,CABA
caba,dip,gral,2017,CABA
caba,dip,paso,2011,CABA
caba,dip,paso,2013,CABA
caba,dip,paso,2015,CABA
caba,dip,paso,2017,CABA
caba,sen,gral,2007,CABA
caba,sen,gral,2013,CABA
caba,sen,paso,2013,CABA
catamarca,dip,gral,2007,CATAMARCA
catamarca,dip,gral,2009,CATAMARCA
catamarca,dip,gral,2011,CATAMARCA
catamarca,dip,gral,2013,CATAMARCA
catamarca,dip,gral,2015,CATAMARCA
catamarca,dip,gral,2017,CATAMARCA
catamarca,dip,paso,2011,CATAMARCA
catamarca,dip,paso,2013,CATAMARCA
catamarca,dip,paso,2015,CATAMARCA
catamarca,dip,paso,2017,CATAMARCA
catamarca,sen,gral,2009,CATAMARCA
catamarca,sen,gral,2015,CATAMARCA
catamarca,sen,paso,2015,CATAMARCA
chaco,dip,gral,2007,CHACO
chaco,dip,gral,2009,CHACO
chaco,dip,gral,2011,CHACO
chaco,dip,gral,2013,CHACO
chaco,dip,gral,2015,CHACO
chaco,dip,gral,2017,CHACO
chaco,dip,paso,2011,CHACO
chaco,dip,paso,2013,CHACO
chaco,dip,paso,2015,CHACO
chaco,dip,paso,2017,CHACO
chaco,sen,gral,2007,CHACO
chaco,sen,gral,2013,CHACO
chaco,sen,paso,2013,CHACO
chubut,dip,gral,2007,CHUBUT
chubut,dip,gral,2009,CHUBUT
chubut,dip,gral,2011,CHUBUT
chubut,dip,gral,2013,CHUBUT
chubut,dip,gral,2015,CHUBUT
chubut,dip,gral,2017,CHUBUT
chubut,dip,paso,2011,CHUBUT
chubut,dip,paso,2013,CHUBUT
chubut,dip,paso,2015,CHUBUT
chubut,dip,paso,2017,CHUBUT
chubut,sen,gral,2009,CHUBUT
chubut,sen,gral,2015,CHUBUT
chubut,sen,paso,2015,CHUBUT
cordoba,dip,gral,2007,CORDOBA
cordoba,dip,gral,2009,CORDOBA
cordoba,dip,gral,2011,CORDOBA
cordoba,dip,gral,2013,CORDOBA
cordoba,dip,gral,2015,CORDOBA
cordoba,dip,gral,2017,CORDOBA
cordoba,dip,paso,2011,CORDOBA
cordoba,dip,paso,2013,CORDOBA
cordoba,dip,paso,2015,CORDOBA
cordoba,dip,paso,2017,CORDOBA
cordoba,sen,gral,2009,CORDOBA
cordoba,sen,gral,2015,CORDOBA
cordoba,sen,paso,2015,CORDOBA
corrientes,dip,gral,2007,CORRIENTES
corrientes,dip,gral,2009,CORRIENTES
corrientes,dip,gral,2011,CORRIENTES
corrientes,dip,gral,2013,CORRIENTES
corrientes,dip,gral,2015,CORRIENTES
corrientes,dip,gral,2017,CORRIENTES
corrientes,dip,paso,2011,CORRIENTES
corrientes,dip,paso,2013,CORRIENTES
corrientes,dip,paso,2015,CORRIENTES
corrientes,dip,paso,2017,CORRIENTES
corrientes,sen,gral,2009,CORRIENTES
corrientes,sen,gral,2015,CORRIENTES
corrientes,sen,paso,2015,CORRIENTES
erios,dip,gral,2007,ENTRE RIOS
erios,dip,gral,2009,ENTRE RIOS
erios,dip,gral,2011,ENTRE RIOS
erios,dip,gral,2013,ENTRE RIOS
erios,dip,gral,2015,ENTRE RIOS
erios,dip,gral,2017,ENTRE RIOS
erios,dip,paso,2011,ENTRE RIOS
erios,dip,paso,2013,ENTRE RIOS
erios,dip,paso,2015,ENTRE RIOS
erios,dip,paso,2017,ENTRE RIOS
erios,sen,gral,2007,ENTRE RIOS
erios,sen,gral,2013,ENTRE RIOS
erios,sen,paso,2013,ENTRE RIOS
formosa,dip,gral,2007,FORMOSA
formosa,dip,gral,2009,FORMOSA
formosa,dip,gral,2011,FORMOSA
formosa,dip,gral,2013,FORMOSA
formosa,dip,gral,2015,FORMOSA
formosa,dip,gral,2017,FORMOSA
formosa,dip,paso,2011,FORMOSA
formosa,dip,paso,2013,FORMOSA
formosa,dip,paso,2015,FORMOSA
formosa,dip,paso,2017,FORMOSA
formosa,sen,gral,2011,FORMOSA
formosa,sen,gral,2017,FORMOSA
formosa,sen,paso,2011,FORMOSA
formosa,sen,paso,2017,FORMOSA
jujuy,dip,gral,2007,JUJUY
jujuy,dip,gral,2009,JUJUY
jujuy,dip,gral,2011,JUJUY
jujuy,dip,gral,2013,JUJUY
jujuy,dip,gral,2015,JUJUY
jujuy,dip,gral,2017,JUJUY
jujuy,dip,paso,2011,JUJUY
jujuy,dip,paso,2013,JUJUY
jujuy,dip,paso,2015,JUJUY
jujuy,dip,paso,2017,JUJUY
jujuy,sen,gral,2011,JUJUY
jujuy,sen,gral,2017,JUJUY
jujuy,sen,paso,2011,JUJUY
jujuy,sen,paso,2017,JUJUY
mendoza,dip,gral,2007,MENDOZA
mendoza,dip,gral,2009,MENDOZA
mendoza,dip,gral,2011,MENDOZA
mendoza,dip,gral,2013,MENDOZA
mendoza,dip,gral,2015,MENDOZA
mendoza,dip,gral,2017,MENDOZA
mendoza,dip,paso,2011,MENDOZA
mendoza,dip,paso,2013,MENDOZA
mendoza,dip,paso,2015,MENDOZA
mendoza,dip,paso,2017,MENDOZA
mendoza,sen,gral,2009,MENDOZA
mendoza,sen,gral,2015,MENDOZA
mendoza,sen,paso,2015,MENDOZA
misiones,dip,gral,2007,MISIONES
misiones,dip,gral,2009,MISIONES
misiones,dip,gral,2011,MISIONES
misiones,dip,gral,2013,MISIONES
misiones,dip,gral,2015,MISIONES
misiones,dip,gral,2017,MISIONES
misiones,dip,paso,2011,MISIONES
misiones,dip,paso,2013,MISIONES
misiones,dip,paso,2015,MISIONES
misiones,dip,paso,2017,MISIONES
misiones,sen,gral,2011,MISIONES
misiones,sen,gral,2017,MISIONES
misiones,sen,paso,2011,MISIONES
misiones,sen,paso,2017,MISIONES
neuquen,dip,gral,2007,NEUQUEN
neuquen,dip,gral,2009,NEUQUEN
neuquen,dip,gral,2011,NEUQUEN
neuquen,dip,gral,2013,NEUQUEN
neuquen,dip,gral,2015,NEUQUEN
